Entidad_Federal;Ppto_2008;Ppto_2009;Ppto_2010;Ppto_2011;Ppto_2012;Ppto_2013;Ppto_2014;Ppto_2015;Ppto_2016;Ppto_2017;Ppto_2018
Distrito Capital;;;3535546;30500000;;115556917;294799470;337801513;279354031;1780155279;8004181939
Amazonas;12863177;18736380;13584855;;6557976;7478859;20184192;41895656;118272588;440330416;
Anzoátegui;16242280;18381552;20798136;28149261;39614534;51082762;92683291;90643732;236815125;655272892;2502196242
Apure;2755545;6792503;3496952;7029974;4847104;7412090;8839274;12348389;33554213;169870566;477682487
Aragua;16211000;20308584;;;;22329307;16335721;48015817;42551303;3108034836;3035662570
Barinas;6954199;8344000;6308503;7759458;9699322;;20216716;27718573;66035232;318237033;1424252980
Bolívar;8573796;14516828;;11008438;11972818;11972818;70248073;120650102;217905246;906080866;3429209242
Carabobo;18003802;23063994;16172474;20072685;22707511;7907455;40314560;81653883;178298345;579039657;2847655676
Cojedes;2558902;3141634;2517307;2919903;;7828899;20033748;23639823;60150000;313181667;986836818
Delta Amacuro;1228675;4560499;3588661;2729243;;4945476;7081787;6068210;18438768;54699238;238215281
Falcón;25330049;5583829;5527953;8515082;;16890000;25950000;44450000;91100000;382000000;1636118653
Guárico;3723047;4275327;4268394;5125935;6584497;9497948;13504160;23500000;95660477;262479068;
Lara;18747000;20673030;24476956;;25951513;29548263;29947114;36116112;83439055;469271269;4013934268
Mérida;7519281;10382537;8807210;6634779;;16518860;23956251;45850699;;383738594;2805201789
Miranda;64665950;30852810;22770586;44810982;39736599;42150424;80538460;124959436;240719594;1345867548;5619215983
Monagas;2651443;3404648;2330545;3898450;;7789471;10115492;14010684;14010684;1059806267;
Nueva Esparta;19462300;12509577;13587672;16595033;17668198;18461354;29703768;38745291;61599375;227771895;930319748
Portuguesa;13176705;13279593;12816929;13534872;16353291;18659474;55469595;86873412;141843913;752269560;3363875127
Sucre;18494366;23709782;16309686;19912426;29392895;43465698;62945351;99008691;203546464;1177084316;5424245968
Táchira;14359323;18992155;20673197;29756213;46944026;39678951;47629668;78485892;219002148;649821637;3342950222
Trujillo;5280846;6884106;5416195;9797679;;11085415;19891373;30873698;60857003;343475006;2436910405
Yaracuy;;;;;;;;;;;
Zulia;16420477;22610447;19697032;21174370;32388128;53052143;62930696;46827348;90788959;487612689;
Vargas;5781994;6824525;;;;;;;;;
Distrito Metropolitano de Caracas;35896973;49908029;;;;;;;;;
Distrito del Alto Apure;1162977;1669440;1721687;;1525189;1861354;1818997;2660657;;24505715;
