Ente.de.adscripción;Organismo;Porcentaje.Presupuesto
MPP Relaciones Interiores, Justicia y Paz;Fondo Nacional Antidrogas;8.33%
;Fundación Gran Misión a Toda Vida Venezuela;16.6%
;Fundación Venezolana para la Prevención y Tratamiento del Consumo de Drogas (FUNDAPRET);9.82%
;Instituto Nacional contra la Discriminación Racial;0.24%
MPP Comunicación e Información;Agencia Venezolana de Noticias, C.A.;0.27%
;Agencia Venezolana de Publicidad AVP, S.A.;0.15%
;C.A. Venezolana de Televisión (VTV);2.56%
;Complejo Editorial Batalla de Carabobo, S.A.;0.17%
;Corporación Venezolana de Telecomunicaciones, S.A. (COVETEL);1.26%
;Fundación Ávila TV;0.42%
;Fundación Distribuidora Nacional de Cine, Amazonia Films;0.05%
;Fundación El Correo del Orinoco;0.16%
;Fundación Poliedro de Caracas;0.21%
;Fundación Televisora Venezolana Social (TEVES);1.8%
;Fundación Villa del Cine;0.37%
;Instituto Autónomo Comisión Nacional de Telecomunicaciones (CONATEL);7.79%
;"La Nueva Televisión del Sur Venezuela, C.A. ""Telesur Venezuela""";0.01%
;La Nueva Televisión del Sur, C.A. (T.V. SUR);2.27%
;La Radio del Sur, C.A.;0.11%
;Radio Margarita, C.A.;0.07%
;Radio Mundial, C.A.;0.27%
;Radio Nacional de Venezuela, C.A.;0.87%
;Radio Zulia, C.A.;0.09%
;Radiodifusora Los Andes, C.A.;0.08%
;Red de Transmisiones de Venezuela, C.A. (RED TV);0.62%
;Servicio Autónomo Imprenta Nacional y Gaceta Oficial;0.6%
MPP Proceso Social del Trabajo;Instituto Nacional de Capacitación y Recreación de los Trabajadores (INCRET);14.94%
MPP Despacho de la Presidencia y Seguimiento de la Gestión del Gobierno;Fundación Centro Nacional de Estudios Históricos (CNEH);0.71%
;Fundación Gran Misión Saber y Trabajo;0.06%
;Fundación Misión Cultura;0.11%
;Fundación Movimiento Nacional de Teatro para Niñas, Niños y Jóvenes, César Rengifo;0.98%
;Fundación Movimiento por la Paz y la Vida;1.72%
;Fundación Musical Simón Bolívar (Fundamusical Bolívar);10.38%
;Instituto de Altos Estudios del Pensamiento del Comandante Supremo Hugo Rafael Chávez Frias;0.67%
MPP Educación Universitaria, Ciencia y Tecnología;Fundación Centro Internacional Miranda;0.22%
;Fundación Conciencia Televisión;0.25%
;Universidad Nacional Experimental de las Artes (UNEARTE);4.2%
MPP Economía y Finanzas;Servicio Autónomo de la Propiedad Intelectual (SAPI);4.52%
MPP Educación;Academia Nacional de la Historia;0.02%
;Academia Venezolana de la Lengua;0.01%
;Asociación Civil Carmen Adela Vientre Sonoro;0,00%
;Asociación Civil Escuela Latinoamericana de Mimo y Teatro Corporal, Sede Venezuela;0,00%
;Asociación de Estados Iberoamericanos para el Desarrollo de las Bibliotecas, Nacionales de Iberoamerica (ABINIA);0,00%
;Asociación de Televisión Educativa Iberoamericana (A.T.E.I.);0,00%
;Banco del Libro;0,00%
;Cooperación Técnica con el Área del Caribe. Programas Educativos, Culturales, Centro Interamericano de Idiomas;0,00%
;Fondo Especial Multilateral del Consejo Interamericano para el Desarrollo Integral de la Ciencia y la Cultura (F.E.M.C.I.D.I.C.C.);0,00%
;Fundación Colombeia;1.79%
;Fundación Grupo Madera;0,00%
;Fundación Luis Beltrán Prieto Figueroa ;0,00%
;Fundación Medios Audiovisuales al Servicio de la Educación (EDUMEDIA);0.07%
;Fundación Palacio de las Academias;0.01%
;Instituto Docente Complejo Educativo y Cultural de Barlovento Fundación Víctor Sosa, Municipio Guaicaipuro del Estado Miranda;0.02%
;Instituto Panamericano de Geografía e Historia (I.P.G.H.);0,00%
;Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura O.E.I., en España.;0,00%
;Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura (UNESCO);0,00%
;Sociedad Orquesta Sinfónica de Venezuela;0.11%
Gobierno del Distrito Capital;Fundación Banda Marcial Caracas;0.54%
;Fundación para la Identidad Caraqueña del Distrito Capital;1.16%
Vicepresidencia de la República;Fundación Gran Misión Saber y Trabajo;1.26%
MPP Turismo;Fundación Bosque Macuto;0.25%
;Fundación la Flor de Venezuela (FUNDAFLOR);0.13%
;Fundación Mundo de los Niños (FUMDANIÑOS);0.26%
MPP Petróleo;Fundación Oro Negro;0.36%
Asamblea Nacional;"Fundación Fondo Editorial de la Asamblea Nacional ""Willian Lara""";0.03%
MPP Defensa;Sociedad Divulgativa de la Historia Militar;0,00%
Tribunal Supremo de Justicia;Fundación Gaceta Forense;0,00%
