Organismos ;Plataforma;Presupuesto
MPPC;;86.472.182.310
Instituto Autónomo Biblioteca Nacional y de Servicios de Bibliotecas;Pensamiento Patrimonio y Memoria;8.920.891.517
Instituto del Patrimonio Cultural;Pensamiento Patrimonio y Memoria;1.408.797.842
Compañía Nacional de Teatro;Artes Escénicas y Musicales;1.537.483.299
Fundación Compañía Nacional de Música;Artes Escénicas y Musicales;1.511.813.472
Fundación Biblioteca Ayacucho;Libro y Lectura;1.386.179.731
Fundación Casa Nacional de las Letras Andrés Bello;Pensamiento Patrimonio y Memoria;512.945.937
Fundación Teatro Teresa Carreño;Artes Escénicas y Musicales;5.988.670.739
Fundación Centro de Estudios Latinoamericanos Rómulo Gallegos;Pensamiento Patrimonio y Memoria;1.120.188.726
Fundación Librerías del Sur;Libro y Lectura;1.192.835.404
Fundación Casa del Artista;Artes Escénicas y Musicales;2.124.310.731
Centro de la Diversidad Cultural;Artes Escénicas y Musicales;2.032.533.168
Fundación Cinemateca Nacional;Cine y Audiovisuales;1.434.648.175
Fundación Centro Nacional de la Fotografía (CENAF);Cine y Audiovisuales;746.591.566
Fundación Museos Nacionales;Artes de la Imagen y el Espacio;5.402.441.571
Fundación Distribuidora Venezolana de la Cultura;Libro y Lectura;617.048.181
Fundación Compañía Nacional de Danza;Artes Escénicas y Musicales;841.421.716
Fundación Misión Cultura;Misión Cultura;14.604.263.545
Fundación Editorial El Perro y La Rana;Libro y Lectura;1.589.242.309
Fundación Red de Arte;Artes de la Imagen y el Espacio;1.691.474.645
Fundación Imprenta de la Cultura;Libro y Lectura;1.613.024.377
Fundación Centro Nacional del Disco (CENDIS);Artes Escénicas y Musicales;2.207.537.489
Centro Nacional Autónomo de Cinematografía (CNAC);Cine y Audiovisuales;639.723.102
Centro Nacional del Libro (CNL);Libro y Lectura;1.647.133.073
Instituto de las Artes Escénicas y Musicales;Artes Escénicas y Musicales;2.614.040.707
Instituto de las Artes de la Imagen y el Espacio;Artes de la Imagen y el Espacio;1.245.389.356
Monteavila Editores Latinoamericana, C.A.;Libro y Lectura;1.519.920.960
UNEARTE;UNEARTE;19.782.731.605
Fondo del ALBA;Artes Escénicas y Musicales;0
Red de Inletectuales y Artistas en Defensa de la Humanidad;Pensamiento Patrimonio y Memoria;0
Archivo General de la Nación (incluído en Ppto de MPPC);Pensamiento Patrimonio y Memoria;0
