month;year;milestone;status
4;1968;Mte. Ávila, 1968;Existente
7;1971;Conserv.  J. J. Landaeta, 1971;Existente
11;1973;Casa Bello, 1973;Existente
10;1974;GAN, 1974;Existente
9;1974;Bib. Ayacucho, 1974;Existente
7;1974;CELARG, 1974;Existente
6;1975;Cons. S. Bolívar, 1975;Existente
8;1975;CONAC, 1975;Existente
4;1976;VTV, 1976;Existente
2;1976;TTC, 1976;Existente
2;1978;FMSB, 1978;Existente
12;1982;Librerías del Sur, 1982;Existente
5;1984;CNT, 1984;Existente
3;1987;Casa del Artista, 1987;Existente
5;1987;CNM, 1987;Existente
9;1990;CDC, 1990;Existente
9;1993;IPC, 1993;Existente
9;1993;CENAC, 1993;Existente
12;1996;CENAF, 1996;Existente
4;1997;CENAL, 1997;Existente
4;2005;Museos Nac., 2005;Existente
5;2005; Red de Arte, 2005;Existente
7;2005;IARTES, 2005;Existente
7;2005;IAEM, 2005;Existente
2;2005;MPPC, 2005;Existente
